code,label,parent
UKI43,Haringey and Islington,UKI4
UKI44,Lewisham and Southwark,UKI4
UKI45,Lambeth,UKI4
UKI51,Bexley and Greenwich,UKI5
UKI52,Barking & Dagenham and Havering,UKI5
UKI53,Redbridge and Waltham Forest,UKI5
UKI54,Enfield,UKI5
UKI61,Bromley,UKI6
UKI62,Croydon,UKI6
UKI63,"Merton, Kingston upon Thames and Sutton",UKI6
UKI71,Barnet,UKI7
UKI72,Brent,UKI7
UKI73,Ealing,UKI7
UKI74,Harrow and Hillingdon,UKI7
UKI75,Hounslow and Richmond upon Thames,UKI7
UKJ11,Berkshire,UKJ1
UKJ12,Milton Keynes,UKJ1
UKJ13,Buckinghamshire CC,UKJ1
UKJ14,Oxfordshire,UKJ1
UKJ21,Brighton and Hove,UKJ2
UKJ22,East Sussex CC,UKJ2
UKJ25,West Surrey,UKJ2
UKJ26,East Surrey,UKJ2
UKJ27,West Sussex (South West),UKJ2
UKJ28,West Sussex (North East),UKJ2
UKJ31,Portsmouth,UKJ3
UKJ32,Southampton,UKJ3
UKJ34,Isle of Wight,UKJ3
UKJ35,South Hampshire,UKJ3
UKJ36,Central Hampshire,UKJ3
UKJ37,North Hampshire,UKJ3
UKJ41,Medway,UKJ4
UKJ43,Kent Thames Gateway,UKJ4
UKJ44,East Kent,UKJ4
UKJ45,Mid Kent,UKJ4
UKJ46,West Kent,UKJ4
UKK11,"Bristol, City of",UKK1
UKK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",UKK1
UKK13,Gloucestershire,UKK1
UKK14,Swindon,UKK1
UKK15,Wiltshire,UKK1
UKK21,Bournemouth and Poole,UKK2
UKK22,Dorset CC,UKK2
UKK23,Somerset,UKK2
UKK30,Cornwall and Isles of Scilly,UKK3
UKK41,Plymouth,UKK4
UKK42,Torbay,UKK4
UKK43,Devon CC,UKK4
UKL11,Isle of Anglesey,UKL1
UKL12,Gwynedd,UKL1
UKL13,Conwy and Denbighshire,UKL1
UKL14,South West Wales,UKL1
UKL15,Central Valleys,UKL1
UKL16,Gwent Valleys,UKL1
UKL17,Bridgend and Neath Port Talbot,UKL1
UKL18,Swansea,UKL1
UKL21,Monmouthshire and Newport,UKL2
UKL22,Cardiff and Vale of Glamorgan,UKL2
UKL23,Flintshire and Wrexham,UKL2
UKL24,Powys,UKL2
UKM50,Aberdeen City and Aberdeenshire,UKM5
UKM61,Caithness and Sutherland and Ross and Cromarty,UKM6
UKM62,"Inverness and Nairn and Moray, Badenoch and Strathspey",UKM6
UKM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",UKM6
UKM64,Na h-Eileanan Siar,UKM6
UKM65,Orkney Islands,UKM6
UKM66,Shetland Islands,UKM6
UKM71,Angus and Dundee City,UKM7
UKM72,Clackmannanshire and Fife,UKM7
UKM73,East Lothian and Midlothian,UKM7
UKM75,City of Edinburgh,UKM7
UKM76,Falkirk,UKM7
UKM77,Perth and Kinross and Stirling,UKM7
UKM78,West Lothian,UKM7
UKM81,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",UKM8
UKM82,Glasgow City,UKM8
UKM83,"Inverclyde, East Renfrewshire and Renfrewshire",UKM8
UKM84,North Lanarkshire,UKM8
UKM91,Scottish Borders,UKM9
UKM92,Dumfries and Galloway,UKM9
UKM93,East Ayrshire and North Ayrshire mainland,UKM9
UKM94,South Ayrshire,UKM9
UKM95,South Lanarkshire,UKM9
UKN06,Belfast,UKN0
UKN07,"Armagh City, Banbridge and Craigavon",UKN0
UKN08,"Newry, Mourne and Down",UKN0
UKN09,Ards and North Down,UKN0
UKN10,Derry City and Strabane,UKN0
UKN11,Mid Ulster,UKN0
UKN12,Causeway Coast and Glens,UKN0
UKN13,Antrim and Newtownabbey,UKN0
UKN14,Lisburn and Castlereagh,UKN0
UKN15,Mid and East Antrim,UKN0
UKN16,Fermanagh and Omagh,UKN0
UKC1,Tees Valley and Durham,UKC
UKC2,Northumberland and Tyne and Wear,UKC
UKD1,Cumbria,UKD
UKD3,Greater Manchester,UKD
UKD4,Lancashire,UKD
UKD6,Cheshire,UKD
UKD7,Merseyside,UKD
UKE1,East Yorkshire and Northern Lincolnshire,UKE
UKE2,North Yorkshire,UKE
UKE3,South Yorkshire,UKE
UKE4,West Yorkshire,UKE
UKF1,Derbyshire and Nottinghamshire,UKF
UKF2,"Leicestershire, Rutland and Northamptonshire",UKF
UKF3,Lincolnshire,UKF
UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG
UKG2,Shropshire and Staffordshire,UKG
UKG3,West Midlands,UKG
UKH1,East Anglia,UKH
UKH2,Bedfordshire and Hertfordshire,UKH
UKH3,Essex,UKH
UKI3,Inner London - West,UKI
UKI4,Inner London - East,UKI
UKI5,Outer London - East and North East,UKI
UKI6,Outer London - South,UKI
UKI7,Outer London - West and North West,UKI
UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",UKJ
UKJ2,"Surrey, East and West Sussex",UKJ
UKJ3,Hampshire and Isle of Wight,UKJ
UKJ4,Kent,UKJ
UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK
UKK2,Dorset and Somerset,UKK
UKK3,Cornwall and Isles of Scilly,UKK
UKK4,Devon,UKK
UKL1,West Wales and The Valleys,UKL
UKL2,East Wales,UKL
UKM5,North Eastern Scotland,UKM
UKM6,Highlands and Islands,UKM
UKM7,Eastern Scotland,UKM
UKM8,West Central Scotland,UKM
UKM9,Southern Scotland,UKM
UKN0,Northern Ireland,UKN
UKC,North East,UK0
UKD,North West,UK0
UKE,Yorkshire and The Humber,UK0
UKF,East Midlands,UK0
UKG,West Midlands,UK0
UKH,East of England,UK0
UKI,London,UK0
UKJ,South East,UK0
UKK,South West,UK0
UKL,Wales,UK
UKM,Scotland,UK
UKN,Northern Ireland,UK
UK,United Kingdom,
UKZ,Extra-regio,UK
UK0,England,UK
UKX,UK less extra-regio,UK
